Mineral Name,Mineral Name (plain),Valence Chemistry,IMA Chemistry,IMA Number,Country of Type Locality,IMA Status,isMineral
Fluellite,Fluellite,Al2(PO4)F2(OH)·7H2O,Al2(PO4)F2(OH)·7H2O,,United Kingdom,"Approved,Grandfathered",1
Fluoborite,Fluoborite,Mg3(BO3)F3,Mg3(BO3)F3,,Sweden,"Approved,Grandfathered",1
Fluocerite-(Ce),Fluocerite-(Ce),CeF3,Ce3+F3,IMA1987 s.p.,Sweden,Approved,1
Fluocerite-(La),Fluocerite-(La),LaF3,La3+F3,IMA1987 s.p.,Kazakhstan,"Approved,Renamed",1
Fluoralforsite,Fluoralforsite,Ba5(PO4)3F,Ba5(PO4)3F,IMA2022-093,Israel,Approved,1
Fluorannite,Fluorannite,KFe2+3(Si3Al)O10F2,KFe2+3(Si3Al)O10F2,IMA1999-048,China,Approved,1
Fluorapatite,Fluorapatite,Ca5(PO4)3F,Ca5(PO4)3F,IMA2010 s.p.,Austria / Germany / Spain / Switzerland,"Approved,Renamed",1
Fluorapophyllite-(Cs),Fluorapophyllite-(Cs),CsCa4(Si8O20)F(H2O)8,CsCa4(Si8O20)F(H2O)8,IMA2018-108a,Tajikistan,Approved,1
Fluorapophyllite-(K),Fluorapophyllite-(K),KCa4Si8O20F·8H2O,KCa4Si8O20F·8H2O,IMA1978 s.p.,India,"Approved,Renamed",1
Fluorapophyllite-(Na),Fluorapophyllite-(Na),NaCa4Si8O20F·8H2O,NaCa4Si8O20F·8H2O,IMA1976-032,Japan,"Approved,Renamed",1
Fluorapophyllite-(NH_4_),Fluorapophyllite-(NH4),(NH4)Ca4(Si8O20)F·8H2O,(N3-H4)Ca4(Si8O20)F·8H2O,IMA2019-083,Slovakia,Approved,1
Fluorarrojadite-(BaFe),Fluorarrojadite-(BaFe),Na2CaBaFe2+Fe2+13Al(PO4)11(PO3OH)F2,Na2CaBaFe2+Fe2+13Al(PO4)11(PO3OH)F2,IMA2005-058a,Morocco,Approved,1
Fluorarrojadite-(BaNa),Fluorarrojadite-(BaNa),BaNa4CaFe13Al(PO4)11(PO3OH)F2,BaNa4CaFe2+13Al(PO4)11(PO3OH)F2,IMA2016-075,Slovakia,Approved,1
Fluorbarytolamprophyllite,Fluorbarytolamprophyllite,(BaK)Ti2Na3Ti(Si2O7)2O2F2,(BaK)Ti4+2Na3Ti4+(Si2O7)2O2F2,IMA2016-089,Russia,Approved,1
Fluorbritholite-(Ce),Fluorbritholite-(Ce),"(Ce,Ca)5(SiO4)3F",Ca2Ce3+3(SiO4)3F,IMA1991-027,Canada,Approved,1
Fluorbritholite-(La),Fluorbritholite-(La),Ca2La3(SiO4)3F,Ca2La3+3(SiO4)3F,IMA2025-027,China,"Approved,Pending publication",1
Fluorbritholite-(Nd),Fluorbritholite-(Nd),Ca2Nd3(SiO4)3F,Ca2Nd3(SiO4)3F,IMA2023-001,Sweden,Approved,1
Fluorbritholite-(Y),Fluorbritholite-(Y),"(Y,Ca)5(SiO4)3F","(Y,Ca)5(SiO4)3F",IMA2009-005,Norway,Approved,1
Fluor-buergerite,Fluor-buergerite,NaFe3+3Al6(Si6O18)(BO3)3O3F,NaFe3+3Al6(Si6O18)(BO3)3O3F,IMA1965-005,Mexico,"Approved,Redefined",1
Fluorcalciobritholite,Fluorcalciobritholite,"(Ca,REE)5(SiO4,PO4)3F","(Ca,REE)5(SiO4,PO4)3F",IMA2006-010,Russia,Approved,1
Fluorcalciomicrolite,Fluorcalciomicrolite,"(Ca,Na,[box])2Ta2O6F","(Ca,Na)2Ta5+2O6F",IMA2012-036,Brazil,Approved,1
Fluorcalciopyrochlore,Fluorcalciopyrochlore,"(Ca,Na)2(Nb,Ti)2O6F","(Ca,Na)2(Nb5+,Ti4+)2O6F",IMA2013-055,China,Approved,1
Fluorcalcioroméite,Fluorcalcioromeite,"(Ca,Na)2Sb5+2O6F","(Ca,Na)2Sb5+2O6F",IMA2012-093,Switzerland,Approved,1
Fluorcanasite,Fluorcanasite,K3Na3Ca5Si12O30F4·H2O,K3Na3Ca5Si12O30F4·H2O,IMA2007-031,Russia,Approved,1
Fluorcaphite,Fluorcaphite,SrCaCa3(PO4)3F,SrCaCa3(PO4)3F,IMA1996-022,Russia,Approved,1
Fluorcarletonite,Fluorcarletonite,KNa4Ca4Si8O18(CO3)4F·H2O,KNa4Ca4Si8O18(CO3)4F·H2O,IMA2019-038,Russia,Approved,1
Fluorcarmoite-(BaNa),Fluorcarmoite-(BaNa),Ba[box]Na2Na2[box]CaMg13Al(PO4)11(PO3OH)F2,Ba[box]Na2Na2[box]CaMg13Al(PO4)11(PO3OH)F2,IMA2015-062,Italy,Approved,1
Fluorchegemite,Fluorchegemite,Ca7(SiO4)3F2,Ca7(SiO4)3F2,IMA2011-112,Russia,Approved,1
Fluor-dravite,Fluor-dravite,NaMg3Al6(Si6O18)(BO3)3(OH)3F,NaMg3Al6(Si6O18)(BO3)3(OH)3F,IMA2009-089,USA,Approved,1
Fluor-elbaite,Fluor-elbaite,Na(Li1.5Al1.5)Al6(Si6O18)(BO3)3(OH)3F,Na(Li1.5Al1.5)Al6(Si6O18)(BO3)3(OH)3F,IMA2011-071,Brazil,Approved,1
Fluorellestadite,Fluorellestadite,Ca5(SiO4)1.5(SO4)1.5F,Ca5(SiO4)1.5(S6+O4)1.5F,IMA1987-002,Russia,"Approved,Redefined",1
Fluorite,Fluorite,CaF2,CaF2,,unknown,"Approved,Grandfathered",1
Fluorkyuygenite,Fluorkyuygenite,Ca12Al14O32[(H2O)4F2],Ca12Al14O32[(H2O)4F2],IMA2013-043,Israel,Approved,1
Fluorlamprophyllite,Fluorlamprophyllite,(SrNa)Ti2Na3Ti(Si2O7)2O2F2,(SrNa)Ti4+2Na3Ti4+(Si2O7)2O2F2,IMA2013-102,Brazil,"Approved,Redefined",1
Fluor-liddicoatite,Fluor-liddicoatite,Ca(Li2Al)Al6(Si6O18)(BO3)3(OH)3F,Ca(Li2Al)Al6(Si6O18)(BO3)3(OH)3F,IMA1976-041,Madagascar,"Approved,Redefined",1
Fluorluanshiweiite,Fluorluanshiweiite,KLiAl1.5[box]0.5(Si3.5Al0.5)O10F2,KLiAl1.5[box]0.5(Si3.5Al0.5)O10F2,IMA2019-053,China,Approved,1
Fluormacraeite,Fluormacraeite,[(H2O)K]Mn2(Fe2Ti)(PO4)4(OF)(H2O)10·4H2O,[(H2O)K]Mn2+2(Fe3+2Ti4+)(PO4)4(OF)(H2O)10·4H2O,IMA2024-054,Germany,Approved,1
Fluormayenite,Fluormayenite,Ca12Al14O32[[box]4F2],Ca12Al14O32[[box]4F2],IMA2013-019,Palestine,Approved,1
Fluornatrocoulsellite,Fluornatrocoulsellite,(Na1.5Ca0.5)(Mg1.5Al0.5)F6F,(Na1.5Ca0.5)(Mg1.5Al0.5)F6F,IMA2009-070,Australia,"Approved,Renamed",1
Fluornatromicrolite,Fluornatromicrolite,(Na1.5Bi0.5)Ta2O6F,(Na1.5Bi3+0.5)Ta5+2O6F,IMA1998-018,Brazil,Approved,1
Fluornatropyrochlore,Fluornatropyrochlore,"(Na,Pb,Ca,REE,U)2Nb2O6F","(Na,Pb2+,Ca,REE3+,U6+)2Nb5+2O6F",IMA2013-056,China,Approved,1
Fluoro-cannilloite,Fluoro-cannilloite,CaCa2(Mg4Al)(Si5Al3)O22F2,CaCa2(Mg4Al)(Si5Al3)O22F2,"IMA1993-033, IMA2012 s.p.",Finland,"Approved,Redefined",1
Fluorocronite,Fluorocronite,PbF2,Pb2+F2,IMA2010-023,Russia,Approved,1
Fluoro-edenite,Fluoro-edenite,NaCa2Mg5(Si7Al)O22F2,NaCa2Mg5(Si7Al)O22F2,"IMA1994-059, IMA2012 s.p.",Italy,"Approved,Redefined",1
Fluorokinoshitalite,Fluorokinoshitalite,BaMg3Al2Si2O10F2,BaMg3Al2Si2O10F2,IMA2010-001,China,Approved,1
Fluoro-leakeite,Fluoro-leakeite,NaNa2(Mg2Al2Li)Si8O22F2,NaNa2(Mg2Al2Li)Si8O22F2,"IMA2009-012, IMA2012 s.p.",Sweden,"Approved,Redefined",1
Fluoro-nybøite,Fluoro-nyboite,NaNa2(Mg3Al2)(Si7Al)O22F2,NaNa2(Mg3Al2)(Si7Al)O22F2,"IMA2002-010, IMA2012 s.p.",China,"Approved,Redefined",1
Fluoro-pargasite,Fluoro-pargasite,NaCa2(Mg4Al)(Si6Al2)O22F2,NaCa2(Mg4Al)(Si6Al2)O22F2,"IMA2003-050, IMA2012 s.p.",USA,"Approved,Redefined",1
