kingdom,division,class,order,family,genus,species,subspecies,variety,species author,species source,species lsid,species common name,subspecies author,subspecies source,subspecies lsid,subspecies common name,variety author,variety source,variety lsid,variety common name
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,carvalhoi,,,E.Pereira & Leme,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de26f2-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,castanea,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de25c6-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,castelnavii,,,Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de249a-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,cathcartii,,,C.F.Reed & Read,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de236e-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,caudata,,,Lindm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de2242-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,chantinii,,chantinii,(Carrière) Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de210c-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f64f7ec0-29c1-102b-9a4a-00304854f820:ac2008,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,chantinii,,fuchsii,(Carrière) Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de210c-29c1-102b-9a4a-00304854f820:ac2008,,,,,,H.Luther,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f66d04cc-29c1-102b-9a4a-00304854f820:ac2008,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,chantinii,,,(Carrière) Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de210c-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,chlorophylla,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de1fe0-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,coelestis,,acutifolia,(K.Koch) E.Morren,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de1eb4-29c1-102b-9a4a-00304854f820:ac2008,,,,,,E.Pereira,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f66d03a0-29c1-102b-9a4a-00304854f820:ac2008,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,coelestis,,coelestis,(K.Koch) E.Morren,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de1eb4-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f64f8118-29c1-102b-9a4a-00304854f820:ac2008,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,coelestis,,,(K.Koch) E.Morren,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de1eb4-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,colombiana,,,(L.B.Sm.) L.B.Sm. & M.A.Spencer,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de1d74-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,comata,,,(Gaudich.) Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de1b76-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,conferta,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de19f0-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,confusa,,,H.E.Luther,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de18c4-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,conifera,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de1798-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,constantinii,,,(Mez) L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de1662-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,contracta,,,(Mart. ex Schult. & Schult.f.) Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de1536-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,correia-arauji,,,E.Pereira & Moutinho,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de140a-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,corymbosa,,,(Mart. ex Schult. & Schult.f.) Mez,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de12de-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,cucullata,,,H.Luther,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de11a8-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,curranii,,,(L.B.Sm.) L.B.Sm. & M.A.Spencer,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de107c-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,cylindrata,,,Lindm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de0f50-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,cymosopaniculata,,,Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de0e24-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,dactylina,,,Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de0cee-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,dealbata,,,E.Morren ex Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de0bc2-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,decurva,,,Proctor,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de0a96-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,depressa,,,L.B.Sm.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de096a-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,,,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,dichlamydea,,dichlamydea,Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de0834-29c1-102b-9a4a-00304854f820:ac2008,,,,,,,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f64f8366-29c1-102b-9a4a-00304854f820:ac2008,
Plantae,Magnoliophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,dichlamydea,,pariaensis,Baker,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f1de0834-29c1-102b-9a4a-00304854f820:ac2008,,,,,,Pittendr.,Catalogue of Life 2008,urn:lsid:catalogueoflife.org:taxon:f66cfdd8-29c1-102b-9a4a-00304854f820:ac2008,
