kingdom,phylum,class,order,family,genus,species,subspecies,family common name,species author,species source,species common name,subspecies author,subspecies source,subspecies common name
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,inca,,,"Taylor, 1973",https://www.catalogueoflife.org/data/taxon/P7SQ,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,volcani,,,"Taylor, 1969",https://www.catalogueoflife.org/data/taxon/P7TN,Caecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Oscaecilia,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Oscaecilia,bassleri,,,"(Dunn, 1942)",https://www.catalogueoflife.org/data/taxon/6SYRK,Oscaecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Oscaecilia,koepckeorum,,,"Wake, 1984",https://www.catalogueoflife.org/data/taxon/6SYRL,Oscaecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Oscaecilia,zweifeli,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/6SYRM,Oscaecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Oscaecilia,elongata,,,"(Dunn, 1942)",https://www.catalogueoflife.org/data/taxon/6SZ3K,Oscaecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Oscaecilia,ochrocephala,,,"(Cope, 1866)",https://www.catalogueoflife.org/data/taxon/6SZ3L,Oscaecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Oscaecilia,equatorialis,,,"Taylor, 1973",https://www.catalogueoflife.org/data/taxon/74YRK,Oscaecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Oscaecilia,osae,,,"Lahanas & Savage, 1992",https://www.catalogueoflife.org/data/taxon/74YRL,Oscaecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Oscaecilia,hypereumeces,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/74Z3K,Oscaecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Oscaecilia,polyzona,,,"(Fischer in Peters, 1880)",https://www.catalogueoflife.org/data/taxon/74Z3L,Oscaecilia,,,
Animalia,Chordata,Amphibia,Gymnophiona,Chikilidae,,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Chikilidae,Chikila,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Chikilidae,Chikila,alcocki,,,"Kamei, Gower, Wilkinson & Biju, 2013",https://www.catalogueoflife.org/data/taxon/TZKL,Chikila,,,
Animalia,Chordata,Amphibia,Gymnophiona,Chikilidae,Chikila,darlong,,,"Kamei, Gower, Wilkinson & Biju, 2013",https://www.catalogueoflife.org/data/taxon/TZKM,Chikila,,,
Animalia,Chordata,Amphibia,Gymnophiona,Chikilidae,Chikila,fulleri,,,"(Alcock, 1904)",https://www.catalogueoflife.org/data/taxon/TZKN,Chikila,,,
Animalia,Chordata,Amphibia,Gymnophiona,Chikilidae,Chikila,gaiduwani,,,"Kamei, Gower, Wilkinson & Biju, 2013",https://www.catalogueoflife.org/data/taxon/TZKP,Chikila,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Geotrypetes,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Geotrypetes,angeli,,,"Parker, 1936",https://www.catalogueoflife.org/data/taxon/3FTN7,Geotrypetes,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Geotrypetes,seraphini,,,"(Duméril, 1859)",https://www.catalogueoflife.org/data/taxon/3FTNB,Geotrypetes,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Geotrypetes,pseudoangeli,,,"Taylor, 1968",https://www.catalogueoflife.org/data/taxon/6KCZJ,Geotrypetes,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Gymnopis,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Gymnopis,syntrema,,,"(Cope, 1866)",https://www.catalogueoflife.org/data/taxon/3HTJM,Gymnopis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Gymnopis,multiplicata,,,"Peters, 1874",https://www.catalogueoflife.org/data/taxon/6L6CD,Gymnopis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Dermophis,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Dermophis,costaricense,,,"Taylor, 1955",https://www.catalogueoflife.org/data/taxon/34XM8,Dermophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Dermophis,glandulosus,,,"Taylor, 1955",https://www.catalogueoflife.org/data/taxon/34XMD,Dermophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Dermophis,mexicanus,,,"(Duméril & Bibron, 1841)",https://www.catalogueoflife.org/data/taxon/34XMH,Dermophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Dermophis,oaxacae,,,"(Mertens, 1930)",https://www.catalogueoflife.org/data/taxon/34XMJ,Dermophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Dermophis,occidentalis,,,"Taylor, 1955",https://www.catalogueoflife.org/data/taxon/34XMK,Dermophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Dermophis,parviceps,,,"(Dunn, 1924)",https://www.catalogueoflife.org/data/taxon/34XML,Dermophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Dermophis,gracilior,,,"Günther, 1902",https://www.catalogueoflife.org/data/taxon/6CMQ5,Dermophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Schistometopum,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Schistometopum,gregorii,,,"(Boulenger, 1895)",https://www.catalogueoflife.org/data/taxon/4V9CK,Schistometopum,,,
Animalia,Chordata,Amphibia,Gymnophiona,Dermophiidae,Schistometopum,thomense,,,"(Bocage, 1873)",https://www.catalogueoflife.org/data/taxon/4V9CL,Schistometopum,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,,,,,,,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,multicolor,,,"Wilkinson, Presswell, Sherratt, Papadopoulou & Gower, 2014",https://www.catalogueoflife.org/data/taxon/6MTRV,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,moustakius,,,"Kamei, Wilkinson, Gower & Biju, 2009",https://www.catalogueoflife.org/data/taxon/6N63Y,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,beddomei,,,"Peters, 1880",https://www.catalogueoflife.org/data/taxon/6N5SJ,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,atricollaris,,,"Taylor, 1965",https://www.catalogueoflife.org/data/taxon/6N5SK,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,catlocensis,,,"Geissler, Poyarkov, Grismer, Nguyen, An, Neang, Kupfer, Ziegler, Böhme & Müller, 2015",https://www.catalogueoflife.org/data/taxon/6N5SL,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,billitonensis,,,"Taylor, 1965",https://www.catalogueoflife.org/data/taxon/6N5SM,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,acuminatus,,,"Taylor, 1960",https://www.catalogueoflife.org/data/taxon/6N5SP,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,youngorum,,,"Taylor, 1960",https://www.catalogueoflife.org/data/taxon/6N5TT,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,orthoplicatus,,,"Taylor, 1965",https://www.catalogueoflife.org/data/taxon/6N63V,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,tricolor,,,"Annandale, 1909",https://www.catalogueoflife.org/data/taxon/6N63W,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,singaporensis,,,"Taylor, 1960",https://www.catalogueoflife.org/data/taxon/6N63X,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,pauli,,,"Nishikawa, Matsui, Sudin & Wong, 2013",https://www.catalogueoflife.org/data/taxon/6N646,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,davidi,,,"Bhatta, Dinesh, Prashanth, Kulkarni & Radhakrishnan, 2011",https://www.catalogueoflife.org/data/taxon/6N5SG,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,kohtaoensis,,,"Taylor, 1960",https://www.catalogueoflife.org/data/taxon/6N64B,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,javanicus,,,"Taylor, 1960",https://www.catalogueoflife.org/data/taxon/6N64C,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,laosensis,,,"Taylor, 1969",https://www.catalogueoflife.org/data/taxon/6N64D,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,garoensis,,,"Pillai & Ravichandran, 1999",https://www.catalogueoflife.org/data/taxon/6N64F,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,dulitensis,,,"Taylor, 1960",https://www.catalogueoflife.org/data/taxon/6N64G,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,humphreyi,,,"Taylor, 1973",https://www.catalogueoflife.org/data/taxon/6N64H,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,bernisi,,,"Salvador, 1975",https://www.catalogueoflife.org/data/taxon/6N64J,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,bannanicus,,,"Yang, 1984",https://www.catalogueoflife.org/data/taxon/6N64K,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,chaloensis,,,"Geissler, Poyarkov, Grismer, Nguyen, An, Neang, Kupfer, Ziegler, Böhme & Müller, 2015",https://www.catalogueoflife.org/data/taxon/6N64L,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,bombayensis,,,"Taylor, 1960",https://www.catalogueoflife.org/data/taxon/6N64M,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,glutinosus,,,"(Linnaeus, 1758)",https://www.catalogueoflife.org/data/taxon/6N5SH,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,lakimi,,,"Nishikawa, Matsui & Yambun, 2012",https://www.catalogueoflife.org/data/taxon/6N5SD,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,sumatranus,,,"Taylor, 1960",https://www.catalogueoflife.org/data/taxon/6MTRW,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,asplenius,,,"Taylor, 1965",https://www.catalogueoflife.org/data/taxon/6MTSK,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,mindanaoensis,,,"Taylor, 1960",https://www.catalogueoflife.org/data/taxon/6MTRY,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,larutensis,,,"Taylor, 1960",https://www.catalogueoflife.org/data/taxon/6MTRZ,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,paucidentulus,,,"Taylor, 1960",https://www.catalogueoflife.org/data/taxon/6MTS6,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,nguyenorum,,,"Nishikawa, Matsui & Orlov, 2012",https://www.catalogueoflife.org/data/taxon/6MTS7,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,supachaii,,,"Taylor, 1960",https://www.catalogueoflife.org/data/taxon/6MTS8,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,pseudangularis,,,"Taylor, 1965",https://www.catalogueoflife.org/data/taxon/6MTS9,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,khumhzi,,,"Kamei, Wilkinson, Gower & Biju, 2009",https://www.catalogueoflife.org/data/taxon/6MTSB,Ichthyophis,,,
Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,elongatus,,,"Taylor, 1965",https://www.catalogueoflife.org/data/taxon/6MTSF,Ichthyophis,,,
